"GENE_NAME","CHROMOSOME","UNIPROT_ACC","GO_MOLECULAR_FUNCTION","REACTOME_ID","KEGG_ID","INTERPRO_ID","PFAM_ID","INTACT_ID","BIOGRID_ID","CONSENSUSPATH_ID","GDI","P_HI","P_REC","ESSENTIAL_GENE","GENATLAS_TISSUE","lastmodified"
"CD2AP","6","Q9Y5K6","beta-catenin binding ; cadherin binding ; protein complex binding ; protein C-terminus binding ; SH3 domain binding ; structural constituent of cytoskeleton ; vascular endothelial growth factor receptor binding","R-HSA-373753;",NULL,"IPR028445;IPR001452;","PF00018;PF14604;","KIF23;PTGES3;TSG101;GRB2;ATP6AP2;CAPZA2;VPS37B;CD2AP;NR2C2;IQGAP1;VCAM1;SOS1;SOS2;CD2;HBP1;BLNK;HCK;KIF15;CBL;RPGRIP1L;NR4A1;RACGAP1;CBLB;HOXC11;FYN;PDCD6IP;VPS28;ABL1;","KIF23;SCPEP1;PTGES3;NRBP1;MORF4L1P2;NIT1;ATP6AP2;DPH5;TSG101;BCAR1;CAPZA2;CAPZA1;TTC27;ARHGAP17;CD2AP;MVB12A;CTTN;KIAA1033;TAS2R7;FRS3;ZYX;MSN;LOX;SEC24C;SEC24D;IMPDH2;EGFR;KHDRBS1;IKBKAP;ELP2;BRCC3;STAP1;UFD1L;MTA2;RAB4A;KIF15;UBE2I;GZMB;HNRNPR;ARHGEF10;PFDN2;CCDC6;SPAG9;MED4;HOXC11;HUWE1;PRDX6;LARP7;SH3KBP1;UBC;PDCD6IP;SH3GL2;TRA;GRB2;KIAA0196;ASNS;NR3C1;CAPZB;NR2C2;TSC22D1;VCAM1;CD2;GALE;HBP1;INPP5D;WDHD1;USP34;SLC25A41;BLNK;NPLOC4;ACTC1;CSTF2;CBL;RPGRIP1L;LMNA;NR4A1;ITGA4;RACGAP1;PPA2;CBLC;NRAS;CBLB;RABEP2;NOLC1;NPHS2;NPHS1;SH3BP1;DNM2;","PSTPIP1;GZMB;GRB2;CBLB;NR4A1;ABL1;SOS1;PTGES3;VPS37B;VPS28;TSG101;CBL;HCK;PDCD6IP;CD2;BLNK;FYN;CBL;GRB2;YWHAE;YWHAH;PRPSAP2;SH3KBP1;CAPZA1;HOXC11;HBP1;IQGAP1;FYB;TFG;KRT36;LCP2;UBASH3B;DARS;GAB2;GAB1;NCKIPSD;ARAP1;SKAP2;PIK3R2;BRE;CBL;CLPX;PIK3R1;ASAP1;GRB2;PTPN11;LRRK1;DYNC1H1;CAD;SHC1;FUS;UBR4;DNM2;BTK;PSTPIP2;FAM175B;DNM3;CNOT1;HSPG2;KRT33A;PTPRA;CTTN;NR2C2;SOS2;TSG101;PLCG2;GRB2;BLNK;MAP2K4;DOK3;PKD2;WTIP;BCAR1;NPHS2;SRC;CAPZA1;PIK3R1;YES1;MVB12A;NPHS1;GRB2;SNX18;SH3KBP1;CBL;RAB4A;AMOT;CAPZA2;ARHGAP17;INADL;CAPZB;CAPZA1;SH3KBP1;MPP5;PTK2B;SH3KBP1;KHDRBS1;ACTC1;CTTN;EGFR;SH3GL2;DNM2;INPP5D;CAPZB;CBLC;ARHGAP17;CAPZA2;SH3BP1;NRAS;VCAM1;ITGA4;LMNA;UBC;LOX;ARHGEF10;BRCC3;CCDC6;ELP2;SPAG9;HNRNPR;HUWE1;MTA2;NR3C1;IKBKAP;KIAA0196;KIAA1033;LARP7;NOLC1;NRBP1;RABEP2;TSC22D1;USP34;WDHD1;FRS3;UBE2I;SLC25A41;STAP1;TAS2R7;RIN3;KPNA6;KPNA5","262.95","0.7","0.38","N","tumor;","2017-06-22 00:00:00"
"CDH23","10","Q9H251","calcium ion binding",,NULL,"IPR002126;IPR015919;IPR020894;IPR033030;","PF00028;",NULL,"PPME1;LYN;USH1C;CLK1;","USH1C;MYO7A;LYN;MAGI1;MYO1C","23222.4","0.32","0.2","N","dorsal root ganglion;superior cervical ganglion;subthalamic nucleus;testis - interstitial;globus pallidus;ciliary ganglion;pons;atrioventricular node;trigeminal ganglion;cerebellum;","2017-06-22 00:00:00"
"CDK5RAP2","9","Q96SN8","calmodulin binding ; microtubule binding ; protein kinase binding ; transcription regulatory region DNA binding ; tubulin binding","R-HSA-2565942;R-HSA-380259;R-HSA-380270;R-HSA-380284;R-HSA-5620912;R-HSA-8854518;",NULL,"IPR012943;","PF07989;","C14orf1;CCDC13;CHMP4B;STK36;ABCA2;PRKAR2B;DYNLL1;CRMP1;STARD9;PTN;LUC7L2;TBC1D4;PRKACA;RBM48;ZPR1;PRKACB;MAGEH1;NEFL;MYC;HAP1;PCNT;RPGRIP1L;KAT5;SENP2;TRIM37;FGFR1OP;EEF1G;MAPRE1;CLIP4;USP43;","CHMP4B;STK36;TSNAX;PTTG1;PRKAR2B;DYNLL1;STARD9;FBXO25;LUC7L2;PRKACA;TUBG1;ZPR1;RBM48;PRKACB;MAGEH1;PCBD1;SOCS6;CDK5;CEP152;NME7;SENP2;TRIM37;SUZ12;FGFR1OP;MZT2A;MZT2B;EEF1G;MAPRE1;PRPS1;C14orf1;CDK5R1;ABCA2;AKAP9;DTNBP1;MLF1;TUBGCP3;TUBGCP6;TUBGCP5;CRMP1;MUS81;PTN;FGL2;HAP1;CARD9;CEP192;PCNT;RPGRIP1L;KAT5;TUBGCP2;C17orf59;PLK4;CEP68;USP43;","SUZ12;ZPR1;LUC7L2;C14orf1;HAP1;EEF1G;NEFL;TRIM37;STK36;PTN;ABCA2;CRMP1;STARD9;MAGEH1;SENP2;CLIP4;KAT5;RBM48;PRKACB;PDE4DIP;PRKACG;DYRK1A;VAPA;AKAP1;DYNLL1;AKAP2;DCAF7;AKAP7;C2orf88;PRKAR1A;HSP90AA1;GPR161;HSP90AB1;PRKACA;AKAP11;PRKAR2A;PRKAR2B;PRKAR1B;VAPB;AKAP5;NXPE4;AKAP9;MAPRE1;TBC1D4;PDE4DIP;PRKACB;DYRK1A;VAPA;TRAP1;AKAP1;DYNLL1;AKAP7;DCAF7;HSP90AA1;PRKAR1A;HSP90AB1;PRKACA;AKAP11;PRKAR2A;PRKAR2B;PRKAR1B;VAPB;AKAP5;AKAP9;MAPRE1;CDK5R1;CDK5;CDK5RAP3;REPS2;CDK5;TUBGCP6;TUBGCP5;TUBGCP2;TUBGCP3;NME7;MZT2A;MZT2B;TUBG1;PCNT;AKAP9;TSNAX;PCBD1;MAPRE1;FBXO25;PRKACA;PRKACB;SOCS6;MLF1;PRPS1;PRKAR2B;CARD9;DTNBP1;FGL2;C17orf59;SIAH1;PSMC5;ARHGAP19","868.61","0.04","0.08","E","superior cervical ganglion;testis - interstitial;globus pallidus;atrioventricular node;trigeminal ganglion;skeletal muscle;","2017-06-22 00:00:00"
"CEP152","15","O94986","protein kinase binding","R-HSA-2565942;R-HSA-380259;R-HSA-380270;R-HSA-380284;R-HSA-5620912;R-HSA-8854518;",NULL,"IPR029598;",,"TBK1;CNOT3;TTK;RASSF8;CNOT1;LUZP1;TTC28;TXLNA;LATS1;OFD1;ACTR3;ARHGAP21;GPX1;DYNLL1;ATXN10;RAE1;DLG5;CSK;TNIP1;POC5;SAMD4B;KIF14;CEP85;VPS45;FAM21A;CNOT10;STK26;TP53;SIPA1L3;MAPK1IP1L;CCDC138;PALLD;PCM1;TTF2;WDR83;MAP4K4;EPB41L3;SASS6;KIF1A;NDEL1;ARFGEF3;FGFR1OP;MLEC;RRM1;SDCCAG3;TCHP;DSP;ADSL;HAUS8;KIAA1671;ERC1;XRN1;SRP9;HAUS3;HAUS6;CEP120;ECH1;WASH1;HAUS2;CEP128;CNTRL;AP3M1;GYS1;RQCD1;CC2D1A;TNRC6B;TNRC6A;NDUFA5;CEP135;TP53BP2;SMG5;CEP192;PCNT;SMG7;RGPD3;RPGRIP1L;ANXA1;ALMS1;CEP63;TUBGCP2;RPF2;SMC2;NCKAP1;DBT;PLK4;NEDD1;TJP1;PSMG1;YWHAH;IRF5;RGAG1;GPATCH1;","TBK1;CNOT3;TTK;CNOT1;LUZP1;TXLNA;MTHFD1L;CUL2;ATXN10;RAE1;POC5;SAMD4B;CEP85;VPS45;FAM21A;STK26;SIPA1L3;CCDC138;KIAA0753;PCM1;WDR83;MAP4K4;NDEL1;CEP350;FGFR1OP;MLEC;DSP;ADSL;KIAA1671;ERC1;XRN1;GSDMA;CNTRL;MYO9A;NPM1;GYS1;SMG5;TP53BP2;PCNT;RGPD3;SMG7;RPGRIP1L;ALMS1;RPF2;NCKAP1;PLK4;NEDD1;RGAG1;GPATCH1;KIAA0368;LYAR;RASSF8;TTC28;LATS1;ARHGAP21;ACTR3;OFD1;GPX1;DYNLL1;DLG5;CDK5RAP2;CSK;TNIP1;KIF14;CNOT10;TP53;MAPK1IP1L;PALLD;TTF2;EPB41L3;SASS6;MED4;KIF1A;RRM1;SDCCAG3;TCHP;HAUS8;SRP9;HAUS3;HAUS6;ECH1;CEP120;WASH1;HAUS2;CEP128;AP3M1;RQCD1;CC2D1A;TNRC6B;TNRC6A;CEP131;NDUFA5;KIAA1244;CEP135;CEP192;ANXA1;CEP63;CENPJ;SMC2;TUBGCP2;A2ML1;CCDC67;DBT;PSMG1;TJP1;YWHAH;IRF5;","HIVEP1;RGS3;IRF5;GPS1;MAVS;GRB2;PPM1G;GTPBP1;GTPBP2;CGN;PTPN14;CCP110;LATS1;CEP192;CEP131;OFD1;AMOTL1;KIRREL;AMOT;MPP5;SIPA1L2;CNTROB;PTPN13;INADL;LIMD1;PKP4;MAGI1;LATS2;SEC16A;KIAA1549;TJP2;LZTS2;SDCCAG3;EPB41L3;PLK4;CENPJ;IRF5;KIAA0368;CUL2;NPM1;LATS1","1499.54","0.17","0.1",NULL,"superior cervical ganglion;temporal lobe;appendix;atrioventricular node;pons;","2017-06-22 00:00:00"
"CEP290","12","O15078","identical protein binding","R-HSA-2565942;R-HSA-380259;R-HSA-380270;R-HSA-380284;R-HSA-5620912;R-HSA-6798695;R-HSA-8854518;",NULL,"IPR032321;IPR026201;","PF16574;","HMGN1;CYB5R3;PTGES3;CEP104;CEP72;LDHA;C11orf49;PNMA2;CEP76;PGD;C21orf2;LUZP1;PAWR;OFD1;TARDBP;ANP32A;SUPT5H;KIF14;KDELR2;CHTOP;SSBP1;EMG1;CCDC138;HERC2;KIAA0753;PCM1;NME7;BCAP31;WDR83;MIB1;FOPNL;MED4;CEP162;CEP350;FGFR1OP;USO1;TCHP;HAUS7;CAND1;NEURL4;MAPRE1;HAUS8;PMPCB;HAUS4;IQCB1;CEP97;HAUS3;BBS4;HAUS6;ECH1;AHCY;CCDC13;NEK1;CCDC14;FKBP4;HAUS1;AKAP12;CEP128;MIF;DDX47;LGALS3BP;TPGS1;ARPC3;KIF7;CCDC61;MTPN;CEP170;GYS1;SSX2IP;TBC1D31;ZNF423;RAB2A;PLP2;CEP131;CCP110;CEP135;SREK1;PCNT;AK2;PIBF1;ISOC1;MAPK10;LRRC49;CSPP1;MPHOSPH9;CCDC77;NEDD1;YWHAH;WRAP73;CSNK1E;UBA1;GPATCH1;C9orf16;CALM1;","HMGN1;CEP72;LDHA;PNMA2;CEP76;PGD;LUZP1;TARDBP;SUPT5H;CHTOP;EMG1;PTPRR;CCDC138;PCM1;KIAA0753;NME7;BCAP31;WDR83;MIB1;FOPNL;CEP162;CEP350;FGFR1OP;USO1;NEURL4;CCDC8;IQCB1;CEP97;AHCY;CCDC14;NEK1;AKAP12;LGALS3BP;PEG10;DDX47;TPGS1;ARPC3;CEP170;MTPN;GYS1;SSX2IP;ZNF423;TBC1D31;SREK1;PCNT;AK2;PIBF1;CSPP1;CDKN1A;NEDD1;UBA1;WRAP73;GPATCH1;CYB5R3;PTGES3;CEP104;C11orf49;C21orf2;PAWR;OFD1;MCM7;ANP32A;KIF14;KDELR2;SSBP1;ESR1;HERC2;MED4;TCHP;CAND1;HAUS7;MAPRE1;HAUS8;PMPCB;HAUS4;HAUS3;HAUS6;ECH1;FKBP4;HAUS1;CEP128;DTNBP1;MIF;KIF7;CEP57;CCDC61;RAB2A;CEP131;PLP2;CCP110;CEP135;MAPK10;ISOC1;LRRC49;CCDC77;MPHOSPH9;YWHAH;CSNK1E;C9orf16;CALM2;","C9orf16;CEP76;KIF24;CEP97;CCP110;ZNF423;CCP110;CEP97;NEURL4;CEP76;CEP76;CEP97;CCP110;BBS4;CEP97;CCP110;MAPK10;CEP162;CCP110;CEP76;CEP97;NEURL4;IQCB1;ESR1;CDKN1A;CEP57;CCDC8;PEG10;DTNBP1;MCM7;DISC1","2616.79","0.48","0.31","N","dorsal root ganglion;subthalamic nucleus;ciliary ganglion;atrioventricular node;trigeminal ganglion;skeletal muscle;","2017-06-22 00:00:00"
"CEP41","7","Q9BYV8",,"R-HSA-2565942;R-HSA-380259;R-HSA-380270;R-HSA-380284;R-HSA-5620912;R-HSA-8854518;",NULL,"IPR001763;","PF00581;","DCTN1;","MVB12A;XPO1;WARS;HIP1R;DCTN1;",NULL,"110.56","0.35","0.12",NULL,"dorsal root ganglion;superior cervical ganglion;trigeminal ganglion;","2017-06-22 00:00:00"
"CHD7","8","Q9P2D1","ATP binding ; chromatin binding ; helicase activity ; promoter-specific chromatin binding ; RNA polymerase II core promoter proximal region sequence-specific DNA binding",,NULL,"IPR006576;IPR000953;IPR023780;IPR016197;IPR014001;IPR001650;IPR027417;IPR000330;","PF07533;PF00385;PF00271;PF00176;","NES;CHD8;CBX4;SNW1;","NES;ZBTB20;MTA2;SOX2;MTA1;ARID1A;CTCF;SIRT7;VARS;ARID2;SALL3;CHD8;SMARCE1;SMARCC1;SMARCC2;GATAD2A;BRD7;PBRM1;OLIG1;TERF2;SMARCA4;","SETDB1;NLK;CHD8;SMARCD3;SMARCE1;SMARCC1;ARID2;PBRM1;SMARCE1;BRD7;SMARCC1;SMARCA4;PBRM1;ARID2;SMARCC2;PARP1;BRD7;SMARCE1;SMARCD3;SMARCC2;PBRM1;SMARCD1;PARP1;SMARCA4;SMARCC1;SMARCA4;SMARCD2;BRD7;SMARCD1;SMARCB1;SMARCC2;SMARCB1;SMARCC2;PBRM1;PARP1;SMARCD3;SMARCD2;SMARCA4;CTCF;NLK;PPARG;TERF2;SOX2;MTA2;MTA1;GATAD2A;SALL3;ARID1A;ZBTB20;OLIG1;VARS;SIRT7","549.47","0.14","0.14","E","superior cervical ganglion;cerebellum peduncles;globus pallidus;ciliary ganglion;atrioventricular node;trigeminal ganglion;skeletal muscle;cerebellum;","2017-06-22 00:00:00"
"COL17A1","10","Q9UMD9",,"R-HSA-1442490;R-HSA-1650814;R-HSA-198933;R-HSA-2022090;R-HSA-446107;R-HSA-8948216;","hsa01430","IPR008160;","PF01391;","EGFR;","KRT18;ACTN4;PPL;ITGB4;CTNND1;ACTN1;DST;","ITGA6;DST;ITGB4;PLEC;DSP;GSTT1;CTNND1;EGFR;PHLDA1;RPL17;CTNNA2;RPS15;SFN;SERAC1;ANO5;AP2S1;VPS13A;DBR1;AP2M1;H1FX;HLA-A;AHNAK;HSPB1;HIST1H2AA;ERBB2;APOB;AP2B1;PTPRD;XRN2;ANXA1;HSPA9;ARMC8;CDH1;ATP2A2;HSPA5;SLC7A5;ATP5A1;CTNNA1;CTNNB1;ATP2B4;ITGB4;SUSD1;CANX;AP2A1;CSTA;YTHDF1;RPS26P11;AP2A2;AP1B1;HSPA8;SERPINB4;BAIAP2;PTPRF;SLC3A2;HSPA2;SGPL1;HNRNPH1;SFPQ;NELL1;RBM25;MET;SPRR1A;CTNND1;LAD1;KRT18;PPL;ACTN4;ACTN1;CLSTN1","2369.26","0.25","0.28","E","lung;placenta;skin;bone marrow;","2017-06-22 00:00:00"
"COL4A3","2","Q01955","extracellular matrix structural constituent ; integrin binding ; metalloendopeptidase inhibitor activity ; structural molecule activity","R-HSA-1442490;R-HSA-1474244;R-HSA-1650814;R-HSA-186797;R-HSA-2022090;R-HSA-216083;R-HSA-2214320;R-HSA-2243919;R-HSA-3000157;R-HSA-3000171;R-HSA-3000178;R-HSA-419037;R-HSA-8948216;",NULL,"IPR008160;IPR001442;IPR016187;","PF01413;PF01391;","KLK6;","MOV10;SHMT2;VHL;MFAP2;","ITGB3;ITGAV;KLK6;CD93;HABP2;FBLN1;HSPG2;NID1;OSM;USH2A;FN1;MMP9;APP;COL4A3BP;MFAP2;SERPINE2;DCN;MATN2;SAA1;ANTXR2;CAMK2B;FBLN2;TGFBI;VHL;CD47;ITGB3;ITGB1;ITGAV;ITGA3","5517.17","0.29","0.34","N","superior cervical ganglion;kidney;trigeminal ganglion;skeletal muscle;","2017-06-22 00:00:00"
"COL4A4","2","P53420","extracellular matrix structural constituent","R-HSA-1442490;R-HSA-1474244;R-HSA-1650814;R-HSA-186797;R-HSA-2022090;R-HSA-216083;R-HSA-2214320;R-HSA-2243919;R-HSA-3000157;R-HSA-3000171;R-HSA-3000178;R-HSA-419037;R-HSA-8948216;","hsa01430;hsa04510;hsa04512;hsa05222","IPR008160;IPR001442;IPR016187;","PF01413;PF01391;","KLK6;",NULL,"KLK6;SERPINE2;DCN;HABP2;SAA1;CD93;MATN2;FN1;ANTXR2;OSM;FBLN2;MMP9;TGFBI","4900.23","0.1","0.25","N","dorsal root ganglion;superior cervical ganglion;subthalamic nucleus;medulla oblongata;appendix;globus pallidus;atrioventricular node;pons;trigeminal ganglion;skeletal muscle;","2017-06-22 00:00:00"
"COL4A5","X","P29400","extracellular matrix structural constituent","R-HSA-1442490;R-HSA-1474244;R-HSA-1650814;R-HSA-186797;R-HSA-2022090;R-HSA-216083;R-HSA-2214320;R-HSA-2243919;R-HSA-3000157;R-HSA-3000171;R-HSA-3000178;R-HSA-419037;R-HSA-8948216;",NULL,"IPR008160;IPR001442;IPR016187;","PF01413;PF01391;","PDK1;KLK6;CEP170P1;STRN3;CASC5;DAZAP2;SMN1;TK1;NR1H2;ANXA7;CDKN1A;RNF10;VPS26B;KIF21B;DAP3;","PDK1;CEP170P1;VHL;STRN3;CASC5;ELAVL1;DAZAP2;SMN1;TK1;NR1H2;ANXA7;CDKN1A;ANTXR2;VPS26B;KIF21B;DAP3;","DAZAP2;RNF10;SLMAP;CTTNBP2;DNAJA2;PGAM5;TCP1;CCT5;STK26;STRIP2;CCT4;MOB4;CCT6A;RUVBL2;STRN3;STRN4;FGFR1OP2;CCT7;SIKE1;PDCD10;CCT3;STK24;CCT8;CCT2;PPP2R1B;STRIP1;CTTNBP2NL;STRN;KLK6;ANXA7;CDKN1A;NR1H2;SMN1;TK1;SERPINE2;MATN2;HABP2;OSM;FN1;CD93;FBLN2;DCN;MMP9;APP;VHL;ANTXR2","776.06","0.88",NULL,"N","uterus;superior cervical ganglion;uterus corpus;spinal cord;parietal lobe;","2017-06-22 00:00:00"
"CPOX","3","P36551","coproporphyrinogen oxidase activity ; protein homodimerization activity ; structural constituent of eye lens","R-HSA-189451;","hsa00860","IPR001260;IPR018375;","PF01218;","JUN;UBE2G2;SIRT4;TCF4;","TRNT1;CUL3;C10orf2;YARS;AIFM1;UBE2G2;ELAVL1;TCF4;FH;","ALDH18A1;ALDH1L1;IDE;MRPS18B;DBT;MCCC1;PRDX5;MRPL39;C17orf80;NT5DC2;STOML2;IVD;MRPS22;MRPS23;TUFM;NDUFS1;CECR5;RARS2;IBA57;TBRG4;FASTKD5;FLAD1;HDAC6;PPA2;HSPD1;PCCA;SUCLG2;ACOT9;PDHX;DNPEP;PCK2;ALAS1;ACSF3;MRPL1;MRPS30;ALDH2;NDUFS2;PITRM1;THNSL1;PTCD3;NLRX1;AARS2;ETFA;DHX30;MCCC2;PMPCA;ALDH1L2;OGDH;GLUD1;GPT2;HADHA;PYCR2;PRDX3;ECH1;ACAT1;TOMM40;ACADVL;DLD;CLPX;DLAT;MRPL28;SHMT2;TRAP1;PYCR1;PDE12;VWA8;MRPL44;DLST;MIPEP;SHC1;SIRT4;HSD17B10;ETHE1;SARS2;PC;SUCLA2;MRPL37;ME2;HMGCL;MLYCD;DAP3;MRPL38;GPX1;ACSF2;LONP1;NT5DC3;ECHS1;MRPS9;ACAD9;PMPCB;BCKDHA;NADK2;MTHFD1L;NDUFV1;MMAA;CYB5R1;PDP1;IARS2;LRPPRC;NIT1;GARS;GCDH;PDHB;IDH2;CNP;UBE2G2;CUL3;FH;AIFM1;KPNA6;KPNA5","3622.55","0.54","0.14",NULL,"superior cervical ganglion;fetal liver;","2017-06-22 00:00:00"
"CPT2","1","P23786","carnitine O-palmitoyltransferase activity","R-HSA-1989781;R-HSA-200425;","hsa00071;hsa03320;hsa04920","IPR000542;","PF00755;","ICT1;","HCCS;ATP1B1;ARHGEF26;MCL1;ATP1B3;TOMM40;UQCRQ;FAHD1;SCCPDH;ALDH7A1;OXLD1;ICT1;ARG2;ATF6B;ATP5L;GNAS;NDUFS3;","ICT1;FAHD1;NDUFS3;ARHGEF26;ATF6B;ARG2;MCL1;OXLD1;ATP6V0D1","2392.92","0.14","0.1",NULL,NULL,"2017-06-22 00:00:00"
"CYP1B1","2","Q16678","aromatase activity ; heme binding ; iron ion binding ; monooxygenase activity ; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen ; oxygen binding","R-HSA-211976;R-HSA-2142670;R-HSA-2142816;","hsa00380;hsa00980","IPR032971;IPR001128;IPR017972;IPR002401;","PF00067;","SAE1;","HSPB2;SAE1;","SAE1","3319.87","0.11","0.62","N","dorsal root ganglion;superior cervical ganglion;olfactory bulb;ciliary ganglion;atrioventricular node;trigeminal ganglion;skeletal muscle;","2017-06-22 00:00:00"
"DFNB31","9","Q9P202",,,NULL,"IPR001478;IPR033028;","PF00595;","CASK;LRP4;","LRP4;","CASK;LRP4;MYO15A;LRRC4C;MYO7A;USH2A","3091.97","0.31","0.16","N","medulla oblongata;testis - interstitial;superior cervical ganglion;thalamus;testis - seminiferous tubule;adrenal gland;spinal cord;prefrontal cortex;adrenal cortex;testis;caudate nucleus;cingulate cortex;parietal lobe;","2017-06-22 00:00:00"
"DISP1","1","Q96F81","peptide transporter activity",,NULL,"IPR003392;IPR000731;","PF02460;","LAPTM5;","LAPTM5;","LAPTM5","4506.08","0.16","0.11",NULL,"superior cervical ganglion;testis;trigeminal ganglion;","2017-06-22 00:00:00"
"DSP","6","P15924","cell adhesion molecule binding ; cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication ; protein binding, bridging ; protein kinase C binding ; RNA binding ; scaffold protein binding ; structural constituent of cytoskeleton ; structural molecule activity","R-HSA-351906;R-HSA-6798695;R-HSA-6805567;R-HSA-6809371;",NULL,"IPR028462;IPR001101;IPR018159;","PF00681;","CEP72;FOXA3;NFKB2;FES;NAP1L4;OFD1;MAP1LC3A;DYNLL1;MAP1LC3B;MAP3K8;PPP4C;MYC;STK24;RELB;CDC5L;ESR2;PCM1;PRKCE;CEP152;JUP;CNTROB;CD81;TELO2;MAPRE1;IQCB1;YWHAZ;NFKBIB;CNTRL;CEP128;UBAC1;SEC16A;PSTPIP1;SEC22A;ENO3;PPP2R2B;SSSCA1;GABARAPL2;GABARAPL1;BECN1;AHI1;SNW1;DOCK5;GABARAP;IFIT3;GH1;IKBKE;PKP1;PKP2;HEATR3;PECAM1;PKP4;AKR1B1;NINL;FOXE1;DSC2;JAK1;","CEP72;COPS5;RAB5B;FOXA3;VTN;FES;NAP1L4;PTEN;OFD1;CUL3;CUL2;DES;DYNLL1;INSIG2;CUL7;TARDBP;EED;TUBG1;WWOX;PRKCA;STK24;PCM1;PRKCE;CEP152;TECR;CDK2;JUP;EVPL;PSEN1;KRT16;TELO2;CNTROB;UCHL5;DSP;CAND1;CSTA;PPP2R2A;CCDC8;IQCB1;VIM;NEDD8;CNTRL;CEP128;CDH5;RPA3;RPA1;RPA2;HNMT;SEC16A;SEC22A;KRT1;OBSL1;IVL;AHI1;AK2;SIRT6;SIRT7;HNRNPA1;IFIT3;PKP1;VCP;HEATR3;PKP2;NTRK1;PKP3;PKP4;PECAM1;NINL;JAK1;OVCA2;DSC1;HIST1H3E;ZBTB1;","JUP;COL17A1;EED;SFTPA1;STK24;PKP4;PKP2;MAPRE1;MYC;PSMC1;KRT33B;RUVBL2;CYCS;LRRC8E;SF3B3;BRD3;RPS18;PREPL;KRT31;KRT4;KRTAP3-2;FLG;GORASP1;PSMD13;KRT75;ARCN1;HYOU1;COPG2;PTCD3;PLEC;CCT7;PDIA6;CCT3;ACTN1;PI4KA;RPLP0P6;RPS26;PSMD4;PCBP1;TTN;USH2A;SUPT6H;RPL14;CNP;ACTR1A;GOLPH3;KRT37;SRRM2;PSMC2;EEF1G;PSMC4;SEC16A;NUDT2;EPRS;SRSF2;IKZF5;RPS12;VPS13C;SNED1;SMARCAD1;TARDBP;LYZ;PSMD11;PSMB6;P4HB;OBSCN;FLNA;KRT36;SRSF5;HSPG2;MCM2;RPL4;COG6;RARB;KRT72;PSMD2;TUBB3;KRT34;MRPL38;FLG2;CCDC87;SPATA5;KLHL41;DCTN2;SCRIB;KRT78;SEC13;PRMT5;MRPS9;ACTN4;SART3;SLC25A5;RPL12;RNFT2;PABPC3;OCRL;TUBB4A;OGDH;NFKB2;PSMD1;SEC22B;PRKCSH;CAPZA2;CCDC25;CALM1;KRT85;DLD;CTNNA2;DLAT;TCP1;HADHA;PPP1CA;MIA3;PCBP3;GTF3C1;KRTAP3-1;NUP205;MYO16;PSMC6;MYLK2;POLDIP2;LARS;FAM179B;PPP6C;PSMC5;KRT15;GAL3ST4;RPS4X;DDB1;SQRDL;RBMX;ESR2;DCD;KIF5A;CAD;MYH9;TMF1;KRT86;CAPZA1;HGH1;COPB2;RPS26P11;HSP90AB3P;KRT24;CCT6A;OR4K3;HNRNPL;IFIT2;SNRPB2;SNRPA1;ILF3;SNRPA;HNRNPA2B1;SNRPE;IFIT3;HNRNPDL;PABPC4;SF3B3;HNRNPU;IFIT1B;SRSF3;NCL;RBMX;HNRNPA1;TXN;SNRPD3;PABPC1;SSB;SNRPF;SNRNP70;HNRNPD;YBX1;HNRNPA3;HNRNPAB;SNRPB;YBX3;SNRPC;MOV10;SRSF7;PPP4C;ENO3;AKR1B1;NFKBIB;PECAM1;JUP;CTNNB1;PECAM1;GH1;RELB;SSSCA1;IKBKE;FES;PKP1;YWHAZ;PRKCE;DSC2;MAP3K8;BECN1;CCT4;PPP2CA;CCT5;TCP1;CDCA4;CCT7;CCT6A;CCT2;DOCK5;CCT8;PPP2R1B;PPP2R1A;CCT3;JAK1;FLG2;PSTPIP1;UBAC1;CENPA;KRT18;KRT6A;DDX5;RUVBL1;PRKDC;LMO7;XRCC6;EIF4A1;DDX17;FLNA;XRCC5;NPM1;CENPA;HJURP;RUVBL2;HNRNPU;RBBP4;RBBP7;DDX3X;KRT8;KRT5;NFKB2;NFKB1;CASP9;CASP2;KRT1;CASP7;CASP10;DSC1;CDH5;ARID3A;PRKACA;CASP4;CASP6;VIM;DES;EVPL;PKP3;CSTA;IVL;PPP2R2A;UCHL5;INSIG2;SIRT7;CUL3;CDK2;CUL2;COPS5;CAND1;NEDD8;AK2;PSEN1;OVCA2;VTN;PRKCA;TECR;RAB5B;HNMT;VCP;IFIT3;IQCB1;TARDBP;RPA1;RPA2;RPA3;WWOX;ZBTB1;MDM2;TUBG1;CUL7;OBSL1;CCDC8;SIRT6;JAK1;HGF","4755.61","0.67","0.37","E",NULL,"2017-06-22 00:00:00"
